name,quantity,unit_price
Chicken Breast,0,2.5
Chicken Thigh,0,2.2
Crispy Chicken,0,2.8
Beef,0,3.5
Angus Steak,0,4
White Rice,0,0.8
"Fried Rice Mix (with egg, peas, carrots)",0,1.2
Wheat Noodles,0,1
Soy Sauce,0,0.15
Teriyaki Sauce,0,0.25
Orange Sauce,0,0.3
Honey Sauce,0,0.35
Black Pepper Sauce,0,0.25
Garlic,0,0.1
Ginger,0,0.1
Onions,0,0.2
Bell Peppers,0,0.3
Zucchini,0,0.25
String Beans,0,0.3
Broccoli,0,0.35
Mushrooms,0,0.4
Celery,0,0.2
Kale,0,0.3
Cabbage,0,0.25
Peanuts,0,0.2
Sesame Seeds,0,0.15
Chili Peppers,0,0.1
Sweet-Tangy Sauce,0,0.3
