name,price,ingredients
Orange Chicken,6.15,"Crispy chicken, sweet orange sauce, sugar, soy sauce, vinegar, garlic"
Grilled Teriyaki Chicken,6.15,"Grilled chicken thigh, teriyaki sauce"
Chow Mein,4.5,"Wheat noodles, cabbage, celery, onions, soy sauce"
Fried Rice,4.5,"White rice, soy sauce, peas, carrots, eggs"
String Bean Chicken Breast,6.15,"Chicken breast, string beans, onions, ginger, soy sauce"
Teriyaki Chicken,6.15,"Grilled chicken thigh, teriyaki glaze"
Mushroom Chicken,6.15,"Chicken breast, mushrooms, zucchini, ginger, soy sauce"
Steamed White Rice,4.5,White rice
Super Greens Side,4.5,"Broccoli, kale, cabbage, garlic"
Kung Pao Chicken,6.15,"Chicken, peanuts, bell peppers, zucchini, chili peppers, garlic, soy sauce"
Broccoli Beef,6.15,"Beef, broccoli, soy sauce, ginger"
Honey Sesame Chicken Breast,6.15,"Chicken breast, string beans, bell peppers, sesame seeds, honey sauce"
Beijing Beef,6.15,"Crispy beef, bell peppers, onions, sweet-tangy sauce"
Black Pepper Angus Steak,7.15,"Angus steak, mushrooms, onions, bell peppers, black pepper sauce"
Black Pepper Chicken,6.15,"Chicken, celery, onions, black pepper sauce"
