id,date,time,item,qty,price
1,2023-08-24,09:30:00,Grilled Teriyaki Chicken,1,6.15
2,2023-08-24,09:37:10,Honey Sesame Chicken Breast,1,6.15
3,2023-08-24,09:42:19,Black Pepper Chicken,1,6.15
4,2023-08-24,09:42:19,Teriyaki Chicken,1,6.15
5,2023-08-24,09:42:19,Beijing Beef,1,6.15
6,2023-08-24,09:49:54,Steamed White Rice,1,4.5
7,2023-08-24,09:56:36,Honey Sesame Chicken Breast,1,6.15
8,2023-08-24,09:56:36,Black Pepper Angus Steak,1,7.15
9,2023-08-24,10:03:25,Fried Rice,1,4.5
10,2023-08-24,10:03:25,Broccoli Beef,2,6.15
11,2023-08-24,10:09:18,Kung Pao Chicken,1,6.15
12,2023-08-24,10:09:18,Broccoli Beef,1,6.15
13,2023-08-24,10:09:18,Super Greens Side,1,4.5
14,2023-08-24,10:09:18,Orange Chicken,1,6.15
15,2023-08-24,10:09:18,Grilled Teriyaki Chicken,1,6.15
16,2023-08-24,10:17:04,Broccoli Beef,2,6.15
17,2023-08-24,10:25:42,Broccoli Beef,1,6.15
18,2023-08-24,10:25:42,Kung Pao Chicken,1,6.15
19,2023-08-24,10:25:42,Chow Mein,2,4.5
20,2023-08-24,10:36:15,Super Greens Side,1,4.5
21,2023-08-24,10:36:15,Orange Chicken,1,6.15
22,2023-08-24,10:36:15,Mushroom Chicken,1,6.15
23,2023-08-24,10:36:15,Grilled Teriyaki Chicken,1,6.15
24,2023-08-24,10:44:11,Teriyaki Chicken,1,6.15
25,2023-08-24,10:44:11,Grilled Teriyaki Chicken,1,6.15
26,2023-08-24,10:54:01,Black Pepper Angus Steak,1,7.15
27,2023-08-24,10:54:01,Broccoli Beef,1,6.15
28,2023-08-24,11:00:14,Kung Pao Chicken,1,6.15
29,2023-08-24,11:06:18,Black Pepper Chicken,1,6.15
30,2023-08-24,11:06:18,Steamed White Rice,1,4.5
31,2023-08-24,11:16:18,Chow Mein,1,4.5
32,2023-08-24,11:16:18,Mushroom Chicken,1,6.15
33,2023-08-24,11:23:40,String Bean Chicken Breast,1,6.15
34,2023-08-24,11:23:40,Mushroom Chicken,1,6.15
35,2023-08-24,11:30:21,Black Pepper Angus Steak,1,7.15
36,2023-08-24,11:30:21,Teriyaki Chicken,1,6.15
37,2023-08-24,11:37:14,Super Greens Side,1,4.5
38,2023-08-24,11:44:39,Honey Sesame Chicken Breast,1,6.15
39,2023-08-24,11:44:39,Grilled Teriyaki Chicken,1,6.15
40,2023-08-24,11:44:39,Steamed White Rice,1,4.5
41,2023-08-24,11:54:00,Super Greens Side,1,4.5
42,2023-08-24,11:54:00,Orange Chicken,1,6.15
43,2023-08-24,11:54:00,String Bean Chicken Breast,1,6.15
44,2023-08-24,12:03:36,Honey Sesame Chicken Breast,1,6.15
